"item","BA S/E DON GOYO 220KV BP2","BA S/E NUEVA PAN DE AZUCAR 220KV BPA","addValue"
"2023-01-18 15","0.00","0.00",""
"2023-01-18 16","0.00","0.00",""
"2023-01-18 17","0.00","0.00",""
"2023-01-18 18","0.00","0.00",""
"2023-01-18 19","0.00","0.00",""
"2023-01-18 20","123.97","126.12",""
"2023-01-18 21","192.21","195.54",""
"2023-01-18 22","192.21","195.54",""
"2023-01-18 23","188.08","191.33",""
"2023-01-18 24","173.13","176.13",""
"2023-01-19 01","192.16","192.66",""
"2023-01-19 02","192.16","192.66",""
"2023-01-19 03","176.28","176.74",""
"2023-01-19 04","172.71","173.16",""
"2023-01-19 05","172.71","173.16",""
"2023-01-19 06","189.57","190.06",""
"2023-01-19 07","204.12","204.63",""
"2023-01-19 08","176.11","176.56",""
"2023-01-19 09","114.01","114.75",""
"2023-01-19 10","95.25","95.87",""
"2023-01-19 11","102.88","103.55",""
"2023-01-19 12","118.58","119.36",""
"2023-01-19 13","137.66","138.56",""
"2023-01-19 14","51.99","52.33",""
"2023-01-19 15","0.00","0.00",""
"2023-01-19 16","0.00","0.00",""
"2023-01-19 17","0.00","0.00",""
"2023-01-19 18","0.00","0.00",""
"2023-01-19 19","0.00","0.00",""
"2023-01-19 20","117.09","119.72",""
"2023-01-19 21","193.54","197.88",""
"2023-01-19 22","193.54","197.88",""
"2023-01-19 23","184.08","188.21",""
"2023-01-19 24","161.79","165.42",""
"2023-01-20 01","150.06","153.05",""
"2023-01-20 02","146.69","149.61",""
"2023-01-20 03","149.45","152.42",""
"2023-01-20 04","149.70","152.68",""
"2023-01-20 05","149.70","152.68",""
"2023-01-20 06","175.39","178.88",""
"2023-01-20 07","197.79","201.72",""
"2023-01-20 08","208.87","213.02",""
"2023-01-20 09","112.05","113.65",""
"2023-01-20 10","102.84","104.31",""
"2023-01-20 11","76.20","77.29",""
"2023-01-20 12","50.10","50.82",""
"2023-01-20 13","0.00","0.00",""
"2023-01-20 14","0.00","0.00",""
"2023-01-20 15","0.00","0.00",""
"2023-01-20 16","0.00","0.00",""
"2023-01-20 17","0.00","0.00",""
"2023-01-20 18","0.00","0.00",""
"2023-01-20 19","0.00","0.00",""
"2023-01-20 20","24.11","24.80",""
"2023-01-20 21","170.28","175.09",""
"2023-01-20 22","177.84","182.86",""
"2023-01-20 23","164.15","168.79",""
"2023-01-20 24","156.23","160.65",""
"2023-01-21 01","155.11","157.47",""
"2023-01-21 02","149.51","151.78",""
"2023-01-21 03","138.78","140.88",""
"2023-01-21 04","147.76","150.00",""
"2023-01-21 05","198.63","201.65",""
"2023-01-21 06","221.07","224.43",""
"2023-01-21 07","221.07","224.43",""
"2023-01-21 08","85.73","87.03",""
"2023-01-21 09","11.64","11.79",""
"2023-01-21 10","0.00","0.00",""
"2023-01-21 11","0.00","0.00",""
"2023-01-21 12","0.00","0.00",""
"2023-01-21 13","0.00","0.00",""
"2023-01-21 14","0.00","0.00",""
"2023-01-21 15","0.00","0.00",""
"2023-01-21 16","0.00","0.00",""
"2023-01-21 17","0.00","0.00",""
"2023-01-21 18","0.00","0.00",""
"2023-01-21 19","0.00","0.00",""
"2023-01-21 20","51.67","52.90",""
"2023-01-21 21","148.48","152.03",""
"2023-01-21 22","148.57","152.11",""
"2023-01-21 23","139.30","142.62",""
"2023-01-21 24","136.46","139.72",""
"2023-01-22 01","138.91","140.02",""
"2023-01-22 02","179.15","180.58",""
"2023-01-22 03","191.51","193.04",""
"2023-01-22 04","191.51","193.04",""
"2023-01-22 05","191.51","193.04",""
"2023-01-22 06","191.51","193.04",""
"2023-01-22 07","191.51","193.04",""
"2023-01-22 08","100.45","101.26",""
"2023-01-22 09","0.00","0.00",""
"2023-01-22 10","0.00","0.00",""
"2023-01-22 11","0.00","0.00",""
"2023-01-22 12","0.00","0.00",""
"2023-01-22 13","0.00","0.00",""
"2023-01-22 14","0.00","0.00",""
"2023-01-22 15","0.00","0.00",""
"2023-01-22 16","0.00","0.00",""
"2023-01-22 17","0.00","0.00",""
"2023-01-22 18","0.00","0.00",""
"2023-01-22 19","0.00","0.00",""
"2023-01-22 20","91.91","92.47",""
"2023-01-22 21","183.81","184.94",""
"2023-01-22 22","233.59","235.02",""
"2023-01-22 23","245.60","247.10",""
"2023-01-22 24","235.65","237.09",""
"2023-01-23 01","238.75","238.89",""
"2023-01-23 02","275.16","275.32",""
"2023-01-23 03","246.03","246.18",""
"2023-01-23 04","235.44","235.58",""
"2023-01-23 05","235.44","235.58",""
"2023-01-23 06","272.20","272.35",""
"2023-01-23 07","318.91","319.09",""
"2023-01-23 08","295.69","295.86",""
"2023-01-23 09","118.76","119.39",""
"2023-01-23 10","75.75","76.15",""
"2023-01-23 11","63.82","64.16",""
"2023-01-23 12","72.37","72.75",""
"2023-01-23 13","12.06","12.13",""
"2023-01-23 14","0.00","0.00",""
"2023-01-23 15","0.00","0.00",""
"2023-01-23 16","0.00","0.00",""
"2023-01-23 17","0.00","0.00",""
"2023-01-23 18","0.00","0.00",""
"2023-01-23 19","0.00","0.00",""
"2023-01-23 20","103.84","105.40",""
"2023-01-23 21","261.61","265.55",""
"2023-01-23 22","261.61","265.55",""
"2023-01-23 23","240.07","243.69",""
"2023-01-23 24","221.19","224.53",""
"2023-01-24 01","208.18","210.85",""
"2023-01-24 02","196.37","198.89",""
"2023-01-24 03","146.32","148.20",""
"2023-01-24 04","146.97","148.86",""
"2023-01-24 05","174.25","176.48",""
"2023-01-24 06","162.25","164.33",""
"2023-01-24 07","193.41","195.89",""
"2023-01-24 08","178.35","180.64",""
"2023-01-24 09","76.09","77.64",""
"2023-01-24 10","63.52","64.81",""
"2023-01-24 11","24.35","24.84",""
"2023-01-24 12","0.00","0.00",""
"2023-01-24 13","0.00","0.00",""
"2023-01-24 14","0.00","0.00",""
"2023-01-24 15","0.00","0.00",""
"2023-01-24 16","0.00","0.00",""
"2023-01-24 17","0.00","0.00",""
"2023-01-24 18","0.00","0.00",""
"2023-01-24 19","0.00","0.00",""
"2023-01-24 20","85.04","88.38",""
"2023-01-24 21","168.84","175.46",""
"2023-01-24 22","158.14","164.35",""
"2023-01-24 23","158.14","164.35",""
"2023-01-24 24","144.19","149.85",""
"2023-01-25 01","168.34","172.84",""
"2023-01-25 02","171.94","176.54",""
"2023-01-25 03","173.68","178.32",""
"2023-01-25 04","170.08","174.63",""
"2023-01-25 05","170.08","174.63",""
"2023-01-25 06","170.08","174.63",""
"2023-01-25 07","170.08","174.63",""
"2023-01-25 08","173.76","178.41",""
"2023-01-25 09","0.00","0.00",""
"2023-01-25 10","0.00","0.00",""
"2023-01-25 11","0.00","0.00",""
"2023-01-25 12","0.00","0.00",""
"2023-01-25 13","0.00","0.00",""
"2023-01-25 14","0.00","0.00",""
"2023-01-25 15","0.00","0.00",""
"2023-01-25 16","0.00","0.00",""
"2023-01-25 17","0.00","0.00",""
"2023-01-25 18","0.00","0.00",""
"2023-01-25 19","0.00","0.00",""
"2023-01-25 20","8.03","8.33",""
"2023-01-25 21","139.07","144.28",""
"2023-01-25 22","154.39","160.18",""
"2023-01-25 23","154.66","160.46",""
"2023-01-25 24","141.61","146.92",""
"2023-01-26 01","152.60","156.20",""
"2023-01-26 02","150.86","154.41",""
"2023-01-26 03","132.22","135.32",""
"2023-01-26 04","128.03","131.04",""
"2023-01-26 05","128.03","131.04",""
"2023-01-26 06","130.57","133.64",""
"2023-01-26 07","152.66","156.25",""
"2023-01-26 08","124.10","127.02",""
"2023-01-26 09","45.75","46.93",""
"2023-01-26 10","0.00","0.00",""
"2023-01-26 11","0.00","0.00",""
"2023-01-26 12","0.00","0.00",""
"2023-01-26 13","0.00","0.00",""
"2023-01-26 14","0.00","0.00",""
"2023-01-26 15","0.00","0.00",""
"2023-01-26 16","0.00","0.00",""
"2023-01-26 17","0.00","0.00",""
"2023-01-26 18","0.00","0.00",""
"2023-01-26 19","0.00","0.00",""
"2023-01-26 20","68.03","70.31",""
"2023-01-26 21","132.88","137.34",""
"2023-01-26 22","127.13","131.39",""
"2023-01-26 23","127.94","132.24",""
"2023-01-26 24","127.91","132.21",""
"2023-01-27 01","126.43","128.78",""
"2023-01-27 02","124.77","127.09",""
"2023-01-27 03","126.24","128.59",""
"2023-01-27 04","135.25","137.77",""
"2023-01-27 05","139.62","142.22",""
"2023-01-27 06","139.62","142.22",""
"2023-01-27 07","144.01","146.70",""
"2023-01-27 08","105.25","107.21",""
"2023-01-27 09","0.00","0.00",""
"2023-01-27 10","0.00","0.00",""
"2023-01-27 11","0.00","0.00",""
"2023-01-27 12","0.00","0.00",""
"2023-01-27 13","0.00","0.00",""
"2023-01-27 14","0.00","0.00",""
"2023-01-27 15","0.00","0.00",""
"2023-01-27 16","0.00","0.00",""
"2023-01-27 17","0.00","0.00",""
"2023-01-27 18","0.00","0.00",""
"2023-01-27 19","0.00","0.00",""
"2023-01-27 20","26.70","27.65",""
"2023-01-27 21","128.50","133.03",""
"2023-01-27 22","128.23","132.75",""
"2023-01-27 23","134.42","139.16",""
"2023-01-27 24","149.31","154.58",""
"2023-01-28 01","158.86","162.05",""
"2023-01-28 02","148.18","151.15",""
"2023-01-28 03","157.97","161.14",""
"2023-01-28 04","138.20","140.97",""
"2023-01-28 05","136.42","139.16",""
"2023-01-28 06","136.42","139.16",""
"2023-01-28 07","152.56","155.62",""
"2023-01-28 08","138.55","141.33",""
"2023-01-28 09","20.63","20.88",""
"2023-01-28 10","0.00","0.00",""
"2023-01-28 11","0.00","0.00",""
"2023-01-28 12","0.00","0.00",""
"2023-01-28 13","0.00","0.00",""
"2023-01-28 14","0.00","0.00",""
"2023-01-28 15","0.00","0.00",""
"2023-01-28 16","0.00","0.00",""
"2023-01-28 17","0.00","0.00",""
"2023-01-28 18","0.00","0.00",""
"2023-01-28 19","0.00","0.00",""
"2023-01-28 20","67.31","68.72",""
"2023-01-28 21","152.58","155.76",""
"2023-01-28 22","152.58","155.76",""
"2023-01-28 23","152.58","155.76",""
"2023-01-28 24","153.21","156.41",""
"2023-01-29 01","180.90","184.57",""
"2023-01-29 02","191.31","195.19",""
"2023-01-29 03","191.31","195.19",""
"2023-01-29 04","191.31","195.19",""
"2023-01-29 05","187.96","191.77",""
"2023-01-29 06","151.13","154.20",""
"2023-01-29 07","151.13","154.20",""
"2023-01-29 08","121.62","124.09",""
"2023-01-29 09","0.00","0.00",""
"2023-01-29 10","0.00","0.00",""
"2023-01-29 11","0.00","0.00",""
"2023-01-29 12","0.00","0.00",""
"2023-01-29 13","0.00","0.00",""
