Hora;G solar;;Fact;0,907407407
17;7,497280186;;;
18;6,563370629;;;
19;2,485188838;;;
20;0,099566784;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,73679433;;;
8;5,362605582;;;
9;7,562724125;;;
10;8,061977561;;;
11;8,131315964;;;
12;7,938793951;;;
13;7,99162321;;;
14;7,978246571;;;
15;7,330495504;;;
16;6,002398395;;;
17;5,713615374;;;
18;6,008748065;;;
19;1,637804127;;;
20;0,112215328;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,689070206;;;
8;5,359473078;;;
9;7,605309249;;;
10;8,140290165;;;
11;8,20632674;;;
12;8,230540151;;;
13;8,190748881;;;
14;8,120309868;;;
15;8,065364052;;;
16;7,942519091;;;
17;7,709697834;;;
18;6,671399692;;;
19;2,433121539;;;
20;0,095477596;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,698222198;;;
8;5,440833524;;;
9;7,688955577;;;
10;8,11887061;;;
11;8,221565949;;;
12;8,229862852;;;
13;8,156883971;;;
14;8,053342009;;;
15;8,008809652;;;
16;7,904844378;;;
17;7,623511638;;;
18;6,695274454;;;
19;2,40154251;;;
20;0,088941669;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,621035601;;;
8;5,263381395;;;
9;7,507947633;;;
10;7,845242137;;;
11;7,944889634;;;
12;7,907045597;;;
13;7,836013949;;;
14;7,774633799;;;
15;7,727561574;;;
16;7,663218245;;;
17;7,416173726;;;
18;6,532722886;;;
19;2,270061997;;;
20;0,074933449;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,51129636;;;
8;4,843202524;;;
9;7,199607627;;;
10;7,689886862;;;
11;7,751097687;;;
12;7,716894128;;;
13;7,654159382;;;
14;7,594133829;;;
15;7,540796595;;;
16;7,431751585;;;
17;7,231609967;;;
18;6,249442913;;;
19;2,098705552;;;
20;0,08229568;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,463843155;;;
8;4,532745961;;;
9;6,986343356;;;
10;7,619278524;;;
11;7,748811805;;;
12;7,725275693;;;
13;7,610304323;;;
14;7,562470138;;;
15;7,557051752;;;
16;7,440217813;;;
17;7,135602947;;;
18;6,030590932;;;
19;1,970018894;;;
20;0,081745375;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,453946135;;;
8;4,785462852;;;
9;7,280290775;;;
10;7,789365035;;;
11;7,87402731;;;
12;7,84388754;;;
13;7,769892712;;;
14;7,704279449;;;
15;7,649502957;;;
16;7,525811373;;;
17;7,301710331;;;
18;6,264343474;;;
19;2,008370905;;;
20;0,069973933;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,439824468;;;
8;4,94835307;;;
9;7,480855705;;;
10;7,870725481;;;
11;7,964869931;;;
12;7,904675054;;;
13;7,808498709;;;
14;7,717232777;;;
15;7,668467306;;;
16;7,586175575;;;
17;7,33667585;;;
18;6,371949225;;;
19;1,99330102;;;
20;0,062273899;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,387257661;;;
8;4,726537909;;;
9;7,269538666;;;
10;7,805027556;;;
11;7,841516997;;;
12;7,802233701;;;
13;7,726714952;;;
14;7,662710272;;;
15;7,632824488;;;
16;7,518953728;;;
17;7,316695553;;;
18;6,215916652;;;
19;1,899325894;;;
20;0,058459863;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,089534305;;;
8;1,54416765;;;
9;1,197729621;;;
10;5,135118049;;;
11;6,49716473;;;
12;7,177256786;;;
13;6,889320389;;;
14;7,360550612;;;
15;6,448314598;;;
16;7,476537929;;;
17;7,186400312;;;
18;5,953124951;;;
19;1,749981641;;;
20;0,065470746;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,22502781;;;
8;2,142475948;;;
9;4,566780196;;;
10;7,179542668;;;
11;7,103769931;;;
12;7,691241458;;;
13;7,60793378;;;
14;7,473659411;;;
15;7,292736129;;;
