"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-24 05","176.53","174.25",""
"2023-01-24 06","164.38","162.25",""
"2023-01-24 07","195.95","193.41",""
"2023-01-24 08","180.69","178.35",""
"2023-01-24 09","77.40","76.09",""
"2023-01-24 10","64.61","63.52",""
"2023-01-24 11","24.77","24.35",""
"2023-01-24 12","0.00","0.00",""
"2023-01-24 13","0.00","0.00",""
"2023-01-24 14","0.00","0.00",""
"2023-01-24 15","0.00","0.00",""
"2023-01-24 16","0.00","0.00",""
"2023-01-24 17","0.00","0.00",""
"2023-01-24 18","0.00","0.00",""
"2023-01-24 19","0.00","0.00",""
"2023-01-24 20","88.29","85.04",""
"2023-01-24 21","175.28","168.84",""
"2023-01-24 22","164.18","158.14",""
"2023-01-24 23","164.18","158.14",""
"2023-01-24 24","149.70","144.19",""
"2023-01-25 01","172.72","168.34",""
"2023-01-25 02","176.41","171.94",""
"2023-01-25 03","178.19","173.68",""
"2023-01-25 04","174.50","170.08",""
"2023-01-25 05","174.50","170.08",""
"2023-01-25 06","174.50","170.08",""
"2023-01-25 07","174.50","170.08",""
"2023-01-25 08","178.27","173.76",""
"2023-01-25 09","0.00","0.00",""
"2023-01-25 10","0.00","0.00",""
"2023-01-25 11","0.00","0.00",""
"2023-01-25 12","0.00","0.00",""
"2023-01-25 13","0.00","0.00",""
"2023-01-25 14","0.00","0.00",""
"2023-01-25 15","0.00","0.00",""
"2023-01-25 16","0.00","0.00",""
"2023-01-25 17","0.00","0.00",""
"2023-01-25 18","0.00","0.00",""
"2023-01-25 19","0.00","0.00",""
"2023-01-25 20","8.32","8.03",""
"2023-01-25 21","144.09","139.07",""
"2023-01-25 22","159.97","154.39",""
"2023-01-25 23","160.25","154.66",""
"2023-01-25 24","146.73","141.61",""
"2023-01-26 01","156.04","152.60",""
"2023-01-26 02","154.25","150.86",""
"2023-01-26 03","135.19","132.22",""
"2023-01-26 04","130.91","128.03",""
"2023-01-26 05","130.91","128.03",""
"2023-01-26 06","133.51","130.57",""
"2023-01-26 07","156.09","152.66",""
"2023-01-26 08","126.89","124.10",""
"2023-01-26 09","46.74","45.75",""
"2023-01-26 10","0.00","0.00",""
