Hora;G solar;CMg;;
;9,013243805;0,90;;
;8,464945255;0,90;;
;7,19973182;0,90;;
;4,345698052;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,145868247;11,21;;
;7,327346918;6,49;;
;8,35356229;5,78;;
;8,870654475;0,90;;
;9,310023058;0,90;;
;9,341137723;0,90;;
;9,52160764;0,90;;
;9,400874544;0,90;;
;9,293527005;0,90;;
;9,02783798;0,90;;
;8,484490337;0,90;;
;7,282235111;0,90;;
;4,408787291;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,716590253;11,21;;
;7,353434967;6,49;;
;8,290278454;5,78;;
;8,668220675;0,90;;
;9,187037936;0,90;;
;9,238098426;0,90;;
;9,266251659;0,90;;
;9,236810263;0,90;;
;9,196763978;0,90;;
;8,948792146;0,90;;
;8,385483984;0,90;;
;7,198495605;0,90;;
;4,356940021;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,612729784;11,21;;
;7,283362845;6,49;;
;8,305396505;5,78;;
;8,69883796;0,90;;
;9,252658702;0,90;;
;9,317340056;0,90;;
;9,367349073;0,90;;
;9,352355579;0,90;;
;9,146016225;0,90;;
;8,874405351;0,90;;
;8,28291636;0,90;;
;7,138064058;0,90;;
;4,238350062;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,589296141;11,21;;
;7,273877596;6,49;;
;8,29249527;5,78;;
;8,797126306;0,90;;
;9,14386044;0,90;;
;9,320319552;0,90;;
;9,354216168;0,90;;
;9,294084004;0,90;;
;9,276396311;0,90;;
;8,936730133;0,90;;
;8,412390963;0,90;;
;7,21646067;0,90;;
;4,212695711;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,122846233;11,21;;
;7,321160981;6,49;;
;8,482659487;5,78;;
;9,043559592;0,90;;
;9,283754542;0,90;;
;9,436854973;0,90;;
;9,498008575;0,90;;
;9,412908143;0,90;;
;9,278002063;0,90;;
;9,041362335;0,90;;
;8,441962866;0,90;;
;7,304850402;0,90;;
