Hora;G solar;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,218302455;;
8;1,241074752;;
9;2,370868886;;
10;3,347104973;;
11;3,884798135;;
12;4,420197269;;
13;9,107045262;;
14;17,2678436;;
15;23,59435282;;
16;22,89220716;;
17;21,47819166;;
18;18,34927351;;
19;10,53538136;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,131595623;;
8;1,049004851;;
9;5,174100159;;
10;8,687798979;;
11;12,0177586;;
12;23,50422213;;
13;23,48620176;;
14;23,69574593;;
15;23,27622125;;
16;22,74332386;;
17;21,19056191;;
18;18,17107025;;
19;10,34154538;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,212752837;;
8;1,544946674;;
9;4,802438164;;
10;22,19710723;;
11;23,06305697;;
12;23,53942069;;
13;23,63718495;;
14;23,56898393;;
15;23,23168188;;
16;22,69274027;;
17;21,10845071;;
18;18,01276935;;
19;10,01465193;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,259430588;;
8;1,960987986;;
9;21,07560752;;
10;21,86562538;;
11;23,15129569;;
12;23,47002787;;
13;23,51156684;;
14;23,49808502;;
15;23,30853649;;
16;22,58651039;;
17;21,1369026;;
18;18,05201311;;
19;9,873755325;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,180107699;;
8;0,824498051;;
9;2,193675909;;
10;3,45836695;;
11;4,903337307;;
12;7,516438305;;
13;14,85026284;;
14;17,0754855;;
15;23,23477788;;
16;22,58616495;;
17;21,09630404;;
18;18,01103613;;
19;9,646926831;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,164951357;;
8;1,612342865;;
9;20,91636417;;
10;5,841532131;;
11;11,74387669;;
12;11,14624841;;
13;14,69534099;;
14;7,820197099;;
15;14,35446583;;
16;22,72786473;;
17;21,20260064;;
18;18,02240291;;
19;9,47647989;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,217057914;;
8;18,13239573;;
9;20,75791271;;
10;21,99360579;;
11;22,73528326;;
12;23,41479957;;
13;23,5885859;;
14;23,49665945;;
15;23,36651798;;
16;22,51752528;;
17;21,16508261;;
18;18,01541355;;
19;9,228157029;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;10,62821507;;
8;18,38211197;;
9;21,10045601;;
10;22,00891401;;
11;23,0029837;;
12;23,70962878;;
13;23,45643556;;
14;23,52065207;;
15;23,48102318;;
16;22,7778342;;
17;21,10505612;;
18;17,89429335;;
19;9,024903;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;10,41332734;;
8;18,1916492;;
9;21,11804087;;
10;22,41068517;;
11;23,250787;;
12;23,6486292;;
13;23,67911657;;
14;23,46029131;;
15;23,44899522;;
16;22,8169051;;
17;21,22858012;;
18;18,02393868;;
19;8,845296737;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;10,46564743;;
8;18,45806351;;
9;21,34924206;;
10;22,67426947;;
11;23,23485446;;
12;23,44219263;;
13;23,5074822;;
14;23,59890791;;
15;23,2304885;;
16;22,68122935;;
17;21,21671003;;
18;18,01822351;;
19;8,627158098;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,102455739;;
8;1,048877093;;
9;2,081553933;;
10;4,194852784;;
11;23,2702524;;
12;23,40246962;;
13;23,81344999;;
14;23,64111514;;
15;23,23094576;;
16;22,84095144;;
17;21,36889529;;
18;18,02918928;;
19;8,405470175;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;10,44715459;;
8;18,51410582;;
9;21,64512774;;
10;22,91373018;;
11;23,25879193;;
12;23,71959608;;
13;23,589605;;
14;23,82078274;;
15;23,8127266;;
16;23,17668993;;
17;21,64262653;;
18;18,23592786;;
19;8,306269774;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,113762722;;
8;0,992534697;;
9;1,899645568;;
10;2,80957098;;
11;8,974593227;;
12;14,31548977;;
13;23,84562591;;
14;23,81615045;;
15;23,49873361;;
16;22,87042412;;
17;21,38189819;;
